i,j,w
0,1,0.6397205089307978
0,2,0.6161696087971804
0,3,0.49032400577920865
0,4,0.6295257737373258
0,5,0.48269019920529416
0,7,0.5878919538426864
0,8,0.4887929776522441
0,10,0.7072779457074941
0,11,0.6925635918970496
0,13,0.6045125733763648
0,14,0.5947135828725155
0,16,0.4853382040151776
0,18,0.4416992453359129
0,20,0.5172462316453493
0,21,0.4614178230542939
0,25,0.47427010949989945
0,27,0.602648643931579
0,43,0.41103857122859583
0,52,0.4058490114475789
0,54,0.42367966094054416
0,58,0.4648849805316415
1,2,0.5784133970780027
1,3,0.4527126643818689
1,4,0.5857185589345485
1,5,0.6653067229905412
1,7,0.583580664982587
1,8,0.7013936618736648
1,9,0.4084336722262992
1,10,0.7591355029140999
1,11,0.6510947872431861
1,13,0.5783017483603342
1,14,0.5233814001590974
1,16,0.5027697613061493
1,18,0.41668800425253594
1,20,0.5122569380181062
1,25,0.4290761883313787
1,27,0.5709819762289636
2,3,0.5442103785043516
2,4,0.5961647920691591
2,5,0.5774373697394029
2,7,0.5969132506356952
2,8,0.4957261609320849
2,10,0.575340642266182
2,11,0.8620830877671661
2,13,0.7372116610885755
2,14,0.7089241604071025
2,16,0.491310789670613
2,23,0.4030115569908662
2,27,0.6096326851838402
2,42,0.4100841270304677
3,4,0.5096180557003042
3,5,0.5561814454747281
3,7,0.48003831244693107
3,8,0.4738559128035175
3,9,0.5384706244991901
3,10,0.5697910917580652
3,11,0.5970395513184188
3,13,0.4932751883200031
3,14,0.4283368610419174
3,17,0.536715127238523
3,22,0.5216950123501632
3,51,0.4507807623234013
4,5,0.4764822097314201
4,6,0.48033690478382596
4,7,0.6492031598954177
4,8,0.5093536817629069
4,10,0.7387520480501709
4,11,0.650667185072287
4,12,0.4642637831391124
4,13,0.6801050364112441
4,14,0.4797551370358145
4,16,0.7202208792754972
4,18,0.46272221469558245
4,20,0.5057919977651245
4,21,0.4227382339671746
4,25,0.4201297200167647
4,27,0.6888279669125655
4,42,0.4189143595965543
4,43,0.41371846251057726
5,6,0.4113882052891098
5,7,0.5107179401927108
5,8,0.5246815978146814
5,9,0.5069630475589632
5,10,0.6241342152029002
5,11,0.5708356124578181
5,13,0.4939043586253951
5,14,0.46404076756005214
5,16,0.429407551149658
5,17,0.4955431330557943
5,22,0.4269969463060921
5,23,0.4697175994689754
5,25,0.4554666346325148
5,27,0.43571730760429295
5,51,0.40463786434257837
5,54,0.4075641777485437
6,7,0.4323152127020471
6,10,0.4702005287587076
6,12,0.4311581806356367
6,16,0.47614766836637984
6,19,0.4074999251062801
6,21,0.49460845392800484
6,25,0.4269138837266578
6,39,0.43212705279343117
6,42,0.41758130205167576
6,51,0.4178035510487278
