i,j,w
0,1,0.6441349330986801
0,2,0.6118112622762274
0,4,0.6266766443453525
0,7,0.6013336627955679
0,10,0.705967849532538
0,11,0.6948853543396775
0,13,0.6040918361254004
0,14,0.5591539361816075
0,27,0.6012059980199841
1,2,0.5767916102756249
1,4,0.5865558279672842
1,5,0.6667255084720094
1,7,0.5949012609514507
1,8,0.7018502240317279
1,10,0.7611137667047148
1,11,0.6536249161712562
1,13,0.5785005928605105
1,27,0.5729388607960558
2,4,0.5960661254962322
2,5,0.5903797207993515
2,7,0.6167378763845479
2,10,0.5802966591894763
2,11,0.8672523299791182
2,13,0.7587259180974686
2,14,0.6491767670200753
2,27,0.6147569976014077
3,5,0.5613209970251541
3,9,0.5559848052602008
3,10,0.5749649660899407
3,11,0.5961328587153424
4,7,0.661615061412143
4,10,0.7407672728787158
4,11,0.6581978611589192
4,13,0.6819078594741066
4,16,0.7199314309030433
4,27,0.6892008740766529
5,10,0.6316063333674518
5,11,0.5832861641017189
7,8,0.5681708847890103
7,10,0.7666579560639045
7,11,0.6846802648277998
7,13,0.6738012372863096
7,27,0.7459608955471296
8,10,0.7144084849765499
8,11,0.6147230936906829
9,27,0.5961714006477864
9,51,0.7330672137780008
10,11,0.686152980976851
10,13,0.6119307404990858
10,16,0.5918692828720261
10,27,0.6668002628678371
11,13,0.7208445156808709
11,14,0.6135896815100473
11,27,0.7213154392371309
12,16,0.5546073177498801
13,16,0.5669692495010784
13,18,0.5826867130447287
13,20,0.6069521638097
13,27,0.7561847890714404
16,18,0.5847659420501115
16,20,0.601243998673616
17,50,0.5638341760819492
18,20,0.8889053552765341
18,25,0.64245721682789
19,21,0.584928691994792
19,24,0.6731410851647391
19,39,0.7697008051066523
19,46,0.5974558516064525
20,21,0.6059524417298512
20,23,0.5795530078050107
20,25,0.6614794865103512
20,27,0.5757556606745338
21,25,0.7379967263208653
21,39,0.589997522292055
21,54,0.5871998370098592
21,56,0.6102377861103128
21,58,0.5973174095666205
24,39,0.7776360048255575
30,35,0.5709209824971867
30,43,0.5812100227719889
32,34,0.7840042395715079
32,36,0.8588696275015004
32,38,0.7343581319538938
32,44,0.824332597450866
32,45,0.6803714837781617
32,46,0.6815885378662437
32,48,0.5992147906050688
32,59,0.6516997389879551
34,36,0.8130265708392936
34,38,0.8556909079236392
34,44,0.6867796574484057
34,46,0.6015023245711602
36,38,0.7383262525769144
36,44,0.6238901533627881
36,45,0.6506646195248554
36,46,0.5960552585721405
38,44,0.5778293318718928
44,45,0.624693928920487
44,46,0.7389438596182318
44,47,0.5814508850805791
44,48,0.6552398384130377
44,50,0.6303234844881294
44,59,0.7042099634763201
45,48,0.5563041190056158
45,59,0.5813643904442356
46,47,0.5753454100946586
46,51,0.5896069753992179
47,48,0.5868820206303965
47,49,0.6475491868922512
48,59,0.8132767422988707
50,59,0.5650495323166502
51,52,0.5881687502105285
51,56,0.6046191483936598
52,56,0.5834912666114692
54,58,0.8646188792181608
